state,Total_Premium_Number_of_Beneficiaries,Total_Premium_Amount,Standard_Base_Premium_Number_of_Beneficiaries,Standard_Base_Premium_Amount,Reduced_Base_Premium_Number_of_Beneficiaries,Reduced_Base_Premium_Amount,Rndrng_Prvdr_State_Abrvtn,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,Medicare_Coverage
AL,2491,12871090,2104,11564500,387,1171044,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
AK,663,3367444,549,3016388,114,344736,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
AR,2373,12149056,2009,11042380,364,1099980,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
AZ,4108,21492618,3556,19544692,552,1668240,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
CA,187725,1007115990,174128,957008862,13597,41117580,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
CO,1034,5127638,784,4307032,250,756756,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
CT,2719,14153816,2367,13009490,352,1063692,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
DC,2056,10285159,1637,8996952,419,1267056,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
DE,745,3870883,651,3575606,95,286776,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
FL,105020,554796546,95729,526124294,9291,28097244,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
GA,2516,12926156,2112,11605720,405,1223208,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
HI,3692,19060239,3184,17497432,508,1535940,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
IA,3084,15842890,2630,14452648,455,1374912,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
ID,566,2899939,477,2619760,89,269388,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
IL,5274,27170180,4455,24486512,819,2476404,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
IN,1830,9357238,1536,8442314,294,888804,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
KS,751,3934384,661,3631940,91,273672,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
KY,1138,5899966,986,5417682,152,460404,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
LA,9771,49690226,8135,44711334,1636,4947012,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
MA,33900,179392165,30984,170289438,2916,8817732,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
MD,17133,90513865,15609,85785232,1525,4610088,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
ME,304,1483355,222,1222402,82,246456,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
MI,27286,142034128,24053,132195746,3233,9777348,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
MN,10537,55954626,9730,53475622,807,2440620,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
MO,1728,9052735,1517,8339722,211,637812,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
MS,5735,29309290,4837,26585984,898,2715552,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
MT,830,4201428,683,3753310,147,443268,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
NY,129583,680181850,116532,640457582,13051,39466728,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
NC,7824,40746415,6884,37832632,940,2843316,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
ND,97,479518,75,409910,22,66528,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
NE,137,694639,111,608224,26,79380,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
NH,238,1200758,188,1032790,50,149940,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
NJ,18821,102073878,17246,94785848,1575,4761540,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
NM,590,3010253,482,2646782,108,326592,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
NV,6848,35766563,6069,33352934,780,2357208,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
OH,14924,77138312,12342,67829800,2583,7810236,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
OK,2604,13293681,2183,11998226,421,1274112,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
OR,8361,43467279,7338,40331480,1023,3092544,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
PA,27711,144610451,24554,134948784,3157,9545760,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
RI,1432,7402616,1239,6810460,193,583128,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
SC,2102,10833081,1793,9851580,309,934668,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
SD,1526,8081001,1401,7700354,125,377748,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
TN,8002,40909467,6743,37058154,1259,3806460,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
TX,57781,297959356,49706,273181428,8076,24420564,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
UT,235,1174401,182,1001646,53,160020,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
VA,6382,34148479,5822,32000002,560,1693188,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
VT,857,4347276,709,3896664,148,448056,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
WA,25715,135711388,23390,128549608,2325,7031808,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
WI,7115,36780395,6165,33881466,950,2872548,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
WV,4671,24037269,4007,22020182,664,2007936,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
WY,189,950935,154,843636,35,106596,TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884
AL,2491,12871090,2104,11564500,387,1171044,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
AK,663,3367444,549,3016388,114,344736,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
AR,2373,12149056,2009,11042380,364,1099980,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
AZ,4108,21492618,3556,19544692,552,1668240,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
CA,187725,1007115990,174128,957008862,13597,41117580,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
CO,1034,5127638,784,4307032,250,756756,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
CT,2719,14153816,2367,13009490,352,1063692,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
DC,2056,10285159,1637,8996952,419,1267056,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
DE,745,3870883,651,3575606,95,286776,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
FL,105020,554796546,95729,526124294,9291,28097244,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
GA,2516,12926156,2112,11605720,405,1223208,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
HI,3692,19060239,3184,17497432,508,1535940,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
IA,3084,15842890,2630,14452648,455,1374912,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
ID,566,2899939,477,2619760,89,269388,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
IL,5274,27170180,4455,24486512,819,2476404,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
IN,1830,9357238,1536,8442314,294,888804,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
KS,751,3934384,661,3631940,91,273672,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
KY,1138,5899966,986,5417682,152,460404,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
LA,9771,49690226,8135,44711334,1636,4947012,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
MA,33900,179392165,30984,170289438,2916,8817732,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
MD,17133,90513865,15609,85785232,1525,4610088,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
ME,304,1483355,222,1222402,82,246456,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
MI,27286,142034128,24053,132195746,3233,9777348,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
MN,10537,55954626,9730,53475622,807,2440620,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
MO,1728,9052735,1517,8339722,211,637812,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
MS,5735,29309290,4837,26585984,898,2715552,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
MT,830,4201428,683,3753310,147,443268,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
NY,129583,680181850,116532,640457582,13051,39466728,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
NC,7824,40746415,6884,37832632,940,2843316,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
ND,97,479518,75,409910,22,66528,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
NE,137,694639,111,608224,26,79380,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
NH,238,1200758,188,1032790,50,149940,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
NJ,18821,102073878,17246,94785848,1575,4761540,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
NM,590,3010253,482,2646782,108,326592,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
NV,6848,35766563,6069,33352934,780,2357208,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
OH,14924,77138312,12342,67829800,2583,7810236,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
OK,2604,13293681,2183,11998226,421,1274112,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
OR,8361,43467279,7338,40331480,1023,3092544,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
PA,27711,144610451,24554,134948784,3157,9545760,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
RI,1432,7402616,1239,6810460,193,583128,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
SC,2102,10833081,1793,9851580,309,934668,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
SD,1526,8081001,1401,7700354,125,377748,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
TN,8002,40909467,6743,37058154,1259,3806460,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
TX,57781,297959356,49706,273181428,8076,24420564,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
UT,235,1174401,182,1001646,53,160020,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
VA,6382,34148479,5822,32000002,560,1693188,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
VT,857,4347276,709,3896664,148,448056,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
WA,25715,135711388,23390,128549608,2325,7031808,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
WI,7115,36780395,6165,33881466,950,2872548,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
WV,4671,24037269,4007,22020182,664,2007936,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
WY,189,950935,154,843636,35,106596,UT,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149
AL,2491,12871090,2104,11564500,387,1171044,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
AK,663,3367444,549,3016388,114,344736,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
AR,2373,12149056,2009,11042380,364,1099980,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
AZ,4108,21492618,3556,19544692,552,1668240,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
CA,187725,1007115990,174128,957008862,13597,41117580,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
CO,1034,5127638,784,4307032,250,756756,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
CT,2719,14153816,2367,13009490,352,1063692,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
DC,2056,10285159,1637,8996952,419,1267056,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
DE,745,3870883,651,3575606,95,286776,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
FL,105020,554796546,95729,526124294,9291,28097244,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
GA,2516,12926156,2112,11605720,405,1223208,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
HI,3692,19060239,3184,17497432,508,1535940,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
IA,3084,15842890,2630,14452648,455,1374912,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
ID,566,2899939,477,2619760,89,269388,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
IL,5274,27170180,4455,24486512,819,2476404,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
IN,1830,9357238,1536,8442314,294,888804,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
KS,751,3934384,661,3631940,91,273672,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
KY,1138,5899966,986,5417682,152,460404,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
LA,9771,49690226,8135,44711334,1636,4947012,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
MA,33900,179392165,30984,170289438,2916,8817732,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
MD,17133,90513865,15609,85785232,1525,4610088,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
ME,304,1483355,222,1222402,82,246456,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
MI,27286,142034128,24053,132195746,3233,9777348,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
MN,10537,55954626,9730,53475622,807,2440620,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
MO,1728,9052735,1517,8339722,211,637812,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
MS,5735,29309290,4837,26585984,898,2715552,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
MT,830,4201428,683,3753310,147,443268,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
NY,129583,680181850,116532,640457582,13051,39466728,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
NC,7824,40746415,6884,37832632,940,2843316,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
ND,97,479518,75,409910,22,66528,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
NE,137,694639,111,608224,26,79380,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
NH,238,1200758,188,1032790,50,149940,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
NJ,18821,102073878,17246,94785848,1575,4761540,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
NM,590,3010253,482,2646782,108,326592,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
NV,6848,35766563,6069,33352934,780,2357208,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
OH,14924,77138312,12342,67829800,2583,7810236,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
OK,2604,13293681,2183,11998226,421,1274112,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
OR,8361,43467279,7338,40331480,1023,3092544,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
PA,27711,144610451,24554,134948784,3157,9545760,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
RI,1432,7402616,1239,6810460,193,583128,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
SC,2102,10833081,1793,9851580,309,934668,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
SD,1526,8081001,1401,7700354,125,377748,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
TN,8002,40909467,6743,37058154,1259,3806460,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
TX,57781,297959356,49706,273181428,8076,24420564,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
UT,235,1174401,182,1001646,53,160020,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
VA,6382,34148479,5822,32000002,560,1693188,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
VT,857,4347276,709,3896664,148,448056,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
WA,25715,135711388,23390,128549608,2325,7031808,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
WI,7115,36780395,6165,33881466,950,2872548,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
WV,4671,24037269,4007,22020182,664,2007936,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
WY,189,950935,154,843636,35,106596,VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204
AL,2491,12871090,2104,11564500,387,1171044,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
AK,663,3367444,549,3016388,114,344736,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
AR,2373,12149056,2009,11042380,364,1099980,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
AZ,4108,21492618,3556,19544692,552,1668240,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
CA,187725,1007115990,174128,957008862,13597,41117580,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
CO,1034,5127638,784,4307032,250,756756,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
CT,2719,14153816,2367,13009490,352,1063692,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
DC,2056,10285159,1637,8996952,419,1267056,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
DE,745,3870883,651,3575606,95,286776,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
FL,105020,554796546,95729,526124294,9291,28097244,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
GA,2516,12926156,2112,11605720,405,1223208,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
HI,3692,19060239,3184,17497432,508,1535940,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
IA,3084,15842890,2630,14452648,455,1374912,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
ID,566,2899939,477,2619760,89,269388,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
IL,5274,27170180,4455,24486512,819,2476404,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
IN,1830,9357238,1536,8442314,294,888804,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
KS,751,3934384,661,3631940,91,273672,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
KY,1138,5899966,986,5417682,152,460404,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
LA,9771,49690226,8135,44711334,1636,4947012,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
MA,33900,179392165,30984,170289438,2916,8817732,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
MD,17133,90513865,15609,85785232,1525,4610088,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
ME,304,1483355,222,1222402,82,246456,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
MI,27286,142034128,24053,132195746,3233,9777348,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
MN,10537,55954626,9730,53475622,807,2440620,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
MO,1728,9052735,1517,8339722,211,637812,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
MS,5735,29309290,4837,26585984,898,2715552,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
MT,830,4201428,683,3753310,147,443268,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
NY,129583,680181850,116532,640457582,13051,39466728,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
NC,7824,40746415,6884,37832632,940,2843316,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
ND,97,479518,75,409910,22,66528,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
NE,137,694639,111,608224,26,79380,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
NH,238,1200758,188,1032790,50,149940,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
NJ,18821,102073878,17246,94785848,1575,4761540,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
NM,590,3010253,482,2646782,108,326592,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
NV,6848,35766563,6069,33352934,780,2357208,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
OH,14924,77138312,12342,67829800,2583,7810236,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
OK,2604,13293681,2183,11998226,421,1274112,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
OR,8361,43467279,7338,40331480,1023,3092544,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
PA,27711,144610451,24554,134948784,3157,9545760,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
RI,1432,7402616,1239,6810460,193,583128,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
SC,2102,10833081,1793,9851580,309,934668,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
SD,1526,8081001,1401,7700354,125,377748,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
TN,8002,40909467,6743,37058154,1259,3806460,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
TX,57781,297959356,49706,273181428,8076,24420564,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
UT,235,1174401,182,1001646,53,160020,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
VA,6382,34148479,5822,32000002,560,1693188,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
VT,857,4347276,709,3896664,148,448056,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
WA,25715,135711388,23390,128549608,2325,7031808,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
WI,7115,36780395,6165,33881466,950,2872548,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
WV,4671,24037269,4007,22020182,664,2007936,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
WY,189,950935,154,843636,35,106596,VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756
AL,2491,12871090,2104,11564500,387,1171044,WA,32.68175853018373,75282.48249343832,18245.774248687663,15005.293914041995,0.8223983103989823
AK,663,3367444,549,3016388,114,344736,WA,32.68175853018373,75282.48249343832,18245.774248687663,15005.293914041995,0.8223983103989823
AR,2373,12149056,2009,11042380,364,1099980,WA,32.68175853018373,75282.48249343832,18245.774248687663,15005.293914041995,0.8223983103989823
AZ,4108,21492618,3556,19544692,552,1668240,WA,32.68175853018373,75282.48249343832,18245.774248687663,15005.293914041995,0.8223983103989823
